Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
CollegeMsg,WPTM,8,1000,1115.5,167.5843,5.299480880849558,1105.113017473535,1125.886982526465,10.386982526465133
CollegeMsg,STM,8,1000,1738.5,16.2635,0.5142970272614844,1737.4919778265676,1739.5080221734324,1.0080221734325094
CollegeMsg,AtI,8,1000,1809.0,4.2426,0.13416279201030368,1808.7370409276598,1809.2629590723402,0.2629590723401952
CollegeMsg,TrCID,8,1000,1771.0,7.0711,0.22360781562816628,1770.5617286813688,1771.4382713186312,0.4382713186312059
CollegeMsg,TICC,8,1000,1695.0,4.2426,0.13416279201030368,1694.7370409276598,1695.2629590723402,0.2629590723401952
CollegeMsg,TBCELF,8,1000,948.0,15.5563,0.49193339964877364,947.0358105366884,948.9641894633116,0.9641894633115963
CollegeMsg,WPTM,12,1000,987.0,138.5929,4.382692315279502,978.4099230620521,995.5900769379479,8.590076937947822
CollegeMsg,STM,12,1000,1743.5,0.7071,0.02236046533505061,1743.4561734879433,1743.5438265120567,0.04382651205669919
CollegeMsg,AtI,12,1000,1800.0,5.6569,0.17888688495806507,1799.6493817054823,1800.3506182945177,0.3506182945178075
CollegeMsg,TrCID,12,1000,1778.5,3.5355,0.11180232667525306,1778.2808674397165,1778.7191325602835,0.21913256028349598
CollegeMsg,TICC,12,1000,1680.0,5.6569,0.17888688495806507,1679.6493817054823,1680.3506182945177,0.3506182945178075
CollegeMsg,TBCELF,12,1000,1001.5,6.364,0.20124735029311566,1001.1055551934255,1001.8944448065745,0.3944448065745067
CollegeMsg,WPTM,16,1000,1161.0,70.7107,2.236068669448682,1156.6173054078806,1165.3826945921194,4.382694592119417
CollegeMsg,STM,16,1000,1751.0,1.4142,0.04472093067010122,1750.9123469758865,1751.0876530241135,0.08765302411339838
CollegeMsg,AtI,16,1000,1804.0,2.8284,0.08944186134020243,1803.8246939517733,1804.1753060482267,0.17530604822679677
CollegeMsg,TrCID,16,1000,1777.5,0.7071,0.02236046533505061,1777.4561734879433,1777.5438265120567,0.04382651205669919
CollegeMsg,TICC,16,1000,1698.5,10.6066,0.3354101423034193,1697.8425961210853,1699.1574038789147,0.6574038789147019
CollegeMsg,TBCELF,16,1000,1047.5,6.364,0.20124735029311566,1047.1055551934255,1047.8944448065745,0.3944448065745067
CollegeMsg,WPTM,20,1000,808.0,708.521,22.405401300601604,764.0854134508209,851.9145865491791,43.91458654917914
CollegeMsg,STM,20,1000,1735.5,9.1924,0.29068921163331807,1734.9302491451988,1736.0697508548012,0.5697508548013034
CollegeMsg,AtI,20,1000,1809.5,3.5355,0.11180232667525306,1809.2808674397165,1809.7191325602835,0.21913256028349598
CollegeMsg,TrCID,20,1000,1775.0,14.1421,0.44721246897867234,1774.1234635608018,1775.8765364391982,0.8765364391981978
CollegeMsg,TICC,20,1000,1707.0,0.0,0.0,1707.0,1707.0,0.0
CollegeMsg,TBCELF,20,1000,1077.5,6.364,0.20124735029311566,1077.1055551934255,1077.8944448065745,0.3944448065745067
Email-Eu-Core,WPTM,8,1000,926.0,16.9706,0.5366574925965351,924.9481513145108,927.0518486854892,1.0518486854892086
Email-Eu-Core,STM,8,1000,955.5,6.364,0.20124735029311566,955.1055551934255,955.8944448065745,0.3944448065745067
Email-Eu-Core,AtI,8,1000,960.5,3.5355,0.11180232667525306,960.2808674397165,960.7191325602835,0.21913256028349598
Email-Eu-Core,TrCID,8,1000,960.0,1.4142,0.04472093067010122,959.9123469758866,960.0876530241134,0.08765302411339838
Email-Eu-Core,TICC,8,1000,950.0,1.4142,0.04472093067010122,949.9123469758866,950.0876530241134,0.08765302411339838
Email-Eu-Core,TBCELF,8,1000,891.5,2.1213,0.06708139600515184,891.3685204638299,891.6314795361701,0.1314795361700976
Email-Eu-Core,WPTM,12,1000,935.0,2.8284,0.08944186134020243,934.8246939517732,935.1753060482268,0.17530604822679677
Email-Eu-Core,STM,12,1000,955.5,2.1213,0.06708139600515184,955.3685204638299,955.6314795361701,0.1314795361700976
Email-Eu-Core,AtI,12,1000,960.5,3.5355,0.11180232667525306,960.2808674397165,960.7191325602835,0.21913256028349598
Email-Eu-Core,TrCID,12,1000,961.0,0.0,0.0,961.0,961.0,0.0
Email-Eu-Core,TICC,12,1000,949.5,0.7071,0.02236046533505061,949.4561734879433,949.5438265120567,0.04382651205669919
Email-Eu-Core,TBCELF,12,1000,906.0,4.2426,0.13416279201030368,905.7370409276598,906.2629590723402,0.2629590723401952
Email-Eu-Core,WPTM,16,1000,929.5,12.0208,0.38013107297352056,928.7549430969719,930.2450569030281,0.7450569030281002
Email-Eu-Core,STM,16,1000,959.5,2.1213,0.06708139600515184,959.3685204638299,959.6314795361701,0.1314795361700976
