Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
Bitcoin-OTC,Voter,8,100,44.0,46.669,4.6669,34.852876,53.147124,9.147124
Bitcoin-OTC,EVM,8,100,3892.5,74.2462,7.42462,3877.9477448,3907.0522552,14.5522552
Bitcoin-OTC,DVM,8,100,46.0,26.8701,2.68701,40.7334604,51.2665396,5.2665396
Bitcoin-OTC,OM-WTD,8,100,32.0,2.8284,0.28284,31.4456336,32.5543664,0.5543663999999999
Bitcoin-OTC,TAM,8,100,3183.5,7.7782,0.77782,3181.9754728,3185.0245272,1.5245271999999999
Bitcoin-OTC,POE,8,100,679.5,386.7874,38.67874,603.6896696,755.3103304,75.8103304
Bitcoin-OTC,LabelCascade,8,100,13.0,0.0,0.0,13.0,13.0,0.0
Bitcoin-OTC,CTMM,8,100,42.5,16.2635,1.62635,39.312354,45.687646,3.187646
Bitcoin-OTC,Voter,12,100,98.5,109.6016,10.96016,77.0180864,119.9819136,21.4819136
Bitcoin-OTC,EVM,12,100,4387.5,70.0036,7.000360000000001,4373.7792944,4401.2207056,13.7207056
Bitcoin-OTC,DVM,12,100,159.0,206.4752,20.64752,118.5308608,199.4691392,40.4691392
Bitcoin-OTC,OM-WTD,12,100,18.5,4.9497,0.49497,17.5298588,19.4701412,0.9701412
Bitcoin-OTC,TAM,12,100,4074.0,89.0955,8.90955,4056.537282,4091.462718,17.462718
Bitcoin-OTC,POE,12,100,559.5,55.8614,5.58614,548.5511656,570.4488344,10.9488344
Bitcoin-OTC,LabelCascade,12,100,77.5,92.631,9.2631,59.344324,95.655676,18.155676
Bitcoin-OTC,CTMM,12,100,39.5,24.7487,2.47487,34.6492548,44.3507452,4.8507452
Bitcoin-OTC,Voter,16,100,40.5,19.0919,1.90919,36.7579876,44.2420124,3.7420123999999997
Bitcoin-OTC,EVM,16,100,4934.0,352.1392,35.21392,4864.9807168,5003.0192832,69.0192832
Bitcoin-OTC,DVM,16,100,20.5,0.7071,0.07071,20.3614084,20.6385916,0.13859159999999998
Bitcoin-OTC,OM-WTD,16,100,38.5,16.2635,1.62635,35.312354,41.687646,3.187646
Bitcoin-OTC,TAM,16,100,4696.0,0.0,0.0,4696.0,4696.0,0.0
Bitcoin-OTC,POE,16,100,379.5,475.8829,47.58829,286.2269516,472.7730484,93.2730484
Bitcoin-OTC,LabelCascade,16,100,56.0,56.5685,5.65685,44.912574,67.087426,11.087426
Bitcoin-OTC,CTMM,16,100,33.5,12.0208,1.20208,31.1439232,35.8560768,2.3560768
CollegeMsg,Voter,8,100,12.0,1.4142,0.14142,11.7228168,12.2771832,0.27718319999999996
CollegeMsg,EVM,8,100,1780.5,7.7782,0.77782,1778.9754728,1782.0245272,1.5245271999999999
CollegeMsg,DVM,8,100,360.5,498.5103,49.851029999999994,262.7919812,458.2080188,97.70801879999999
CollegeMsg,OM-WTD,8,100,30.0,0.0,0.0,30.0,30.0,0.0
CollegeMsg,TAM,8,100,1680.0,12.7279,1.27279,1677.5053316,1682.4946684,2.4946684
CollegeMsg,POE,8,100,650.5,177.4838,17.74838,615.7131752,685.2868248,34.7868248
CollegeMsg,LabelCascade,8,100,8.0,0.0,0.0,8.0,8.0,0.0
CollegeMsg,CTMM,8,100,27.5,14.8492,1.48492,24.5895568,30.4104432,2.9104432
CollegeMsg,Voter,12,100,105.5,41.7193,4.17193,97.3230172,113.6769828,8.1769828
CollegeMsg,EVM,12,100,1751.5,21.9203,2.19203,1747.2036212,1755.7963788,4.296378799999999
CollegeMsg,DVM,12,100,270.5,364.16,36.416000000000004,199.12464,341.87536,71.37536
CollegeMsg,OM-WTD,12,100,48.5,10.6066,1.06066,46.4211064,50.5788936,2.0788936
CollegeMsg,TAM,12,100,1650.5,58.6899,5.86899,1638.9967796,1662.0032204,11.5032204
CollegeMsg,POE,12,100,1144.0,52.3259,5.23259,1133.7441236,1154.2558764,10.2558764
CollegeMsg,LabelCascade,12,100,45.5,47.3762,4.73762,36.2142648,54.7857352,9.2857352
CollegeMsg,CTMM,12,100,32.5,9.1924,0.91924,30.6982896,34.3017104,1.8017104
CollegeMsg,Voter,16,100,489.0,302.6417,30.26417,429.6822268,548.3177732,59.3177732
CollegeMsg,EVM,16,100,1761.0,11.3137,1.13137,1758.7825148,1763.2174852,2.2174852
CollegeMsg,DVM,16,100,346.5,311.8341,31.18341,285.38051640000003,407.61948359999997,61.119483599999995
CollegeMsg,OM-WTD,16,100,247.0,49.4975,4.94975,237.29849000000002,256.70151,9.701509999999999
CollegeMsg,TAM,16,100,1695.5,12.0208,1.20208,1693.1439232,1697.8560768,2.3560768
CollegeMsg,POE,16,100,1084.0,49.4975,4.94975,1074.29849,1093.70151,9.701509999999999
CollegeMsg,LabelCascade,16,100,91.5,37.4767,3.7476700000000003,84.1545668,98.8454332,7.3454332
CollegeMsg,CTMM,16,100,40.5,12.0208,1.20208,38.1439232,42.8560768,2.3560768
CollegeMsg,Voter,20,100,279.0,25.4558,2.54558,274.0106632,283.9893368,4.9893368
CollegeMsg,EVM,20,100,1771.0,15.5563,1.55563,1767.9509652,1774.0490348,3.0490348000000003
CollegeMsg,DVM,20,100,96.5,91.2168,9.121680000000001,78.6215072,114.3784928,17.878492800000004
CollegeMsg,OM-WTD,20,100,131.0,5.6569,0.56569,129.8912476,132.1087524,1.1087524
CollegeMsg,TAM,20,100,1685.0,12.7279,1.27279,1682.5053316,1687.4946684,2.4946684
CollegeMsg,POE,20,100,1004.5,82.7315,8.27315,988.284626,1020.715374,16.215373999999997
CollegeMsg,LabelCascade,20,100,58.0,28.2843,2.82843,52.4562772,63.5437228,5.5437228
CollegeMsg,CTMM,20,100,33.5,4.9497,0.49497,32.5298588,34.4701412,0.9701412
Email-Eu-Core,Voter,8,100,362.0,339.4113,33.94113,295.4753852,428.5246148,66.5246148
Email-Eu-Core,EVM,8,100,965.0,1.4142,0.14142,964.7228168,965.2771832,0.27718319999999996
Email-Eu-Core,DVM,8,100,419.5,434.8707,43.48707,334.2653428,504.7346572,85.2346572
Email-Eu-Core,OM-WTD,8,100,228.5,255.2655,25.52655,178.467962,278.532038,50.032038
Email-Eu-Core,TAM,8,100,939.5,3.5355,0.35355,938.807042,940.192958,0.692958
Email-Eu-Core,POE,8,100,918.5,7.7782,0.77782,916.9754728,920.0245272,1.5245271999999999
Email-Eu-Core,LabelCascade,8,100,351.0,485.0753,48.50753,255.92524120000002,446.0747588,95.0747588
Email-Eu-Core,CTMM,8,100,35.0,12.7279,1.27279,32.5053316,37.4946684,2.4946684
Email-Eu-Core,Voter,12,100,178.5,109.6016,10.96016,157.01808640000002,199.98191359999998,21.4819136
Email-Eu-Core,EVM,12,100,964.0,1.4142,0.14142,963.7228168,964.2771832,0.27718319999999996
Email-Eu-Core,DVM,12,100,538.0,492.1463,49.21463,441.5393252,634.4606748,96.46067479999999
Email-Eu-Core,OM-WTD,12,100,132.5,58.6899,5.86899,120.9967796,144.0032204,11.5032204
Email-Eu-Core,TAM,12,100,944.0,2.8284,0.28284,943.4456336,944.5543664,0.5543663999999999
Email-Eu-Core,POE,12,100,905.0,31.1127,3.11127,898.9019108,911.0980892,6.0980892
Email-Eu-Core,LabelCascade,12,100,66.0,73.5391,7.353910000000001,51.5863364,80.4136636,14.413663600000001
Email-Eu-Core,CTMM,12,100,22.0,7.0711,0.70711,20.6140644,23.3859356,1.3859356
Email-Eu-Core,Voter,16,100,440.0,103.2376,10.32376,419.7654304,460.2345696,20.2345696
Email-Eu-Core,EVM,16,100,965.0,1.4142,0.14142,964.7228168,965.2771832,0.27718319999999996
Email-Eu-Core,DVM,16,100,437.0,345.0681,34.50681,369.3666524,504.6333476,67.63334760000001
Email-Eu-Core,OM-WTD,16,100,407.5,150.6137,15.06137,377.9797148,437.0202852,29.5202852
Email-Eu-Core,TAM,16,100,947.5,2.1213,0.21213,947.0842252,947.9157748,0.4157748
Email-Eu-Core,POE,16,100,929.5,7.7782,0.77782,927.9754728,931.0245272,1.5245271999999999
Email-Eu-Core,LabelCascade,16,100,387.5,501.3387,50.13387,289.2376148,485.7623852,98.2623852
Email-Eu-Core,CTMM,16,100,45.5,6.364,0.6364,44.252656,46.747344,1.247344
Email-Eu-Core,Voter,20,100,496.0,265.8721,26.58721,443.8890684,548.1109316,52.110931599999994
Email-Eu-Core,EVM,20,100,965.5,0.7071,0.07071,965.3614084,965.6385916,0.13859159999999998
