Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
Bitcoin-OTC,FSIR,8,1000,892.0,316.2277660168383,10.000000000000012,872.4,911.6,19.600000000000023
Bitcoin-OTC,IC,8,1000,1326.0,695.7010852370416,21.999999999999943,1282.88,1369.12,43.11999999999989
Bitcoin-OTC,SCIR,8,1000,24.0,0.0,0.0,24.0,24.0,0.0
Bitcoin-OTC,SEIR,8,1000,1836.0,1960.612149304395,61.99999999999999,1714.48,1957.52,121.51999999999998
Bitcoin-OTC,SI,8,1000,1831.5,1185.8541225631423,37.5,1758.0,1905.0,73.5
Bitcoin-OTC,SIR,8,1000,1972.5,3937.035686909632,124.5,1728.48,2216.52,244.01999999999998
Bitcoin-OTC,irSIR,8,1000,3184.5,395.2847075210474,12.5,3160.0,3209.0,24.5
Bitcoin-OTC,FSIR,12,1000,948.0,1106.7971810589331,35.000000000000014,879.4,1016.6,68.60000000000002
Bitcoin-OTC,IC,12,1000,1780.5,300.4163777159943,9.499999999999945,1761.88,1799.12,18.61999999999989
Bitcoin-OTC,SCIR,12,1000,38.0,600.8327554319919,18.999999999999996,0.76,75.24,37.239999999999995
Bitcoin-OTC,SEIR,12,1000,2489.0,7715.957490810843,243.99999999999994,2010.76,2967.24,478.2399999999999
Bitcoin-OTC,SI,12,1000,1938.5,2988.352388859117,94.49999999999996,1753.28,2123.72,185.2199999999999
Bitcoin-OTC,SIR,12,1000,2469.5,1217.4768991648266,38.50000000000002,2394.04,2544.96,75.46000000000004
Bitcoin-OTC,irSIR,12,1000,2951.0,20206.95424847594,638.9999999999999,1698.56,4203.44,1252.4399999999998
Bitcoin-OTC,FSIR,16,1000,1260.0,2466.5765749313377,78.00000000000006,1107.12,1412.88,152.8800000000001
Bitcoin-OTC,IC,16,1000,1410.0,12459.373981063412,393.99999999999994,637.76,2182.24,772.2399999999999
Bitcoin-OTC,SCIR,16,1000,44.0,695.7010852370436,22.000000000000004,0.88,87.12,43.120000000000005
Bitcoin-OTC,SEIR,16,1000,2922.5,521.775813927785,16.500000000000075,2890.16,2954.84,32.340000000000146
Bitcoin-OTC,SI,16,1000,2546.5,711.5124735378839,22.499999999999954,2502.4,2590.6,44.09999999999991
Bitcoin-OTC,SIR,16,1000,2555.5,2229.405750418705,70.49999999999991,2417.32,2693.68,138.17999999999984
Bitcoin-OTC,irSIR,16,1000,3892.5,22215.00056268286,702.4999999999999,2515.6,5269.4,1376.8999999999999
Bitcoin-OTC,FSIR,20,1000,1120.0,2023.8577025077636,64.00000000000003,994.56,1245.44,125.44000000000005
Bitcoin-OTC,IC,20,1000,1903.0,2055.480479109448,65.00000000000004,1775.6,2030.4,127.40000000000009
Bitcoin-OTC,SCIR,20,1000,49.0,126.49110640673523,4.000000000000002,41.16,56.84,7.840000000000003
Bitcoin-OTC,SEIR,20,1000,3301.0,284.6049894151521,8.999999999999936,3283.36,3318.64,17.639999999999873
Bitcoin-OTC,SI,20,1000,2515.0,3921.22429860879,123.99999999999999,2271.96,2758.04,243.03999999999996
Bitcoin-OTC,SIR,20,1000,2671.5,964.494686351359,30.500000000000103,2611.72,2731.28,59.7800000000002
Bitcoin-OTC,irSIR,20,1000,4602.0,1011.9288512538855,32.00000000000013,4539.28,4664.72,62.720000000000255
CollegeMsg,FSIR,8,1000,849.5,458.5302607244143,14.499999999999979,821.08,877.92,28.41999999999996
CollegeMsg,IC,8,1000,1089.0,221.359436211787,7.000000000000014,1075.28,1102.72,13.720000000000027
CollegeMsg,SCIR,8,1000,26.5,300.41637771599596,9.499999999999998,7.88,45.12,18.619999999999997
CollegeMsg,SEIR,8,1000,1370.0,284.6049894151558,9.000000000000052,1352.36,1387.64,17.6400000000001
CollegeMsg,SI,8,1000,1278.0,316.2277660168365,9.999999999999954,1258.4,1297.6,19.59999999999991
CollegeMsg,SIR,8,1000,1295.0,221.359436211787,7.000000000000014,1281.28,1308.72,13.720000000000027
CollegeMsg,irSIR,8,1000,1673.5,110.67971810589165,3.499999999999949,1666.64,1680.36,6.8599999999999
CollegeMsg,FSIR,12,1000,709.0,1707.6299364909253,54.000000000000014,603.16,814.84,105.84000000000003
