Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
CollegeMsg,VMID,8,100,1757.0,2.8284,0.28284,1756.4456336,1757.5543664,0.5543663999999999
CollegeMsg,MAT,8,100,1564.5,3.5355,0.35355,1563.807042,1565.192958,0.692958
CollegeMsg,FSC-SB,8,100,1411.5,28.9914,2.89914,1405.8176856,1417.1823144,5.6823144
CollegeMsg,FSC-N,8,100,1755.0,7.0711,0.70711,1753.6140644,1756.3859356,1.3859356
CollegeMsg,IC-u,8,100,393.5,78.4889,7.84889,378.1161756,408.8838244,15.3838244
CollegeMsg,LT-u,8,100,1286.5,30.4056,3.04056,1280.5405024,1292.4594976,5.959497600000001
CollegeMsg,UAD,8,100,1798.0,1.4142,0.14142,1797.7228168,1798.2771832,0.27718319999999996
CollegeMsg,ISR,8,100,1832.5,2.1213,0.21213,1832.0842252,1832.9157748,0.4157748
CollegeMsg,ACT,8,100,1828.5,0.7071,0.07071,1828.3614084,1828.6385916,0.13859159999999998
CollegeMsg,VMID,12,100,1768.5,2.1213,0.21213,1768.0842252,1768.9157748,0.4157748
CollegeMsg,MAT,12,100,1578.5,10.6066,1.06066,1576.4211064,1580.5788936,2.0788936
CollegeMsg,FSC-SB,12,100,1405.0,5.6569,0.56569,1403.8912476,1406.1087524,1.1087524
CollegeMsg,FSC-N,12,100,1764.0,2.8284,0.28284,1763.4456336,1764.5543664,0.5543663999999999
CollegeMsg,IC-u,12,100,522.0,57.9828,5.79828,510.6353712,533.3646288,11.3646288
CollegeMsg,LT-u,12,100,1268.0,52.3259,5.23259,1257.7441236,1278.2558764,10.2558764
CollegeMsg,UAD,12,100,1802.0,8.4853,0.84853,1800.3368812,1803.6631188,1.6631188
CollegeMsg,ISR,12,100,1836.0,0.0,0.0,1836.0,1836.0,0.0
CollegeMsg,ACT,12,100,1827.5,2.1213,0.21213,1827.0842252,1827.9157748,0.4157748
CollegeMsg,VMID,16,100,1768.0,8.4853,0.84853,1766.3368812,1769.6631188,1.6631188
CollegeMsg,MAT,16,100,1563.5,12.0208,1.20208,1561.1439232,1565.8560768,2.3560768
CollegeMsg,FSC-SB,16,100,1426.5,10.6066,1.06066,1424.4211064,1428.5788936,2.0788936
CollegeMsg,FSC-N,16,100,1770.5,3.5355,0.35355,1769.807042,1771.192958,0.692958
CollegeMsg,IC-u,16,100,458.5,28.9914,2.89914,452.8176856,464.1823144,5.6823144
CollegeMsg,LT-u,16,100,1267.5,24.7487,2.47487,1262.6492548,1272.3507452,4.8507452
CollegeMsg,UAD,16,100,1805.0,1.4142,0.14142,1804.7228168,1805.2771832,0.27718319999999996
